Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,000.00",Square feet,50,,,,"10,267.56167",Cubic Meter,,,,,,,,,,,,,,,,,,,"19,412.12932",18.18689,0.00000,
ARGYLE ARENA,Indoor recreational facilities,1948 WAVELL ST,LONDON,N5V 1P4,"49,260.00",Square feet,126,,"1,206,713.22931",kWh,"156,656.42631",Cubic Meter,,,,,,,,,,,,,,,,,,,"344,460.67233",58.29523,0.00000,
ARVA PUMPING,Facilities related to the pumping of water,13966 MEDWAY RD,LONDON,N0M 1C0,0.00,Square feet,168,36183.50000,"5,435,496.62490",kWh,,,,,,,,,,,,,,,,,,,,,"217,479.65546",0.00000,150.22031,
BASIL GROVER PK,Other,555 WHARNCLIFFE RD S,LONDON,N6J 2A1,"1,001.00",Square feet,168,,"1,847.27282",kWh,,,,,,,,,,,,,,,,,,,,,73.91123,1.84543,0.00000,
BEACHWOOD,Facilities related to the pumping of sewage,326 BEACHWOOD AVE,LONDON,N6J 1K4,0.00,Square feet,168,200.00000,"1,314.00000",kWh,,,,,,,,,,,,,,,,,,,,,52.57445,0.00000,6.57000,
BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,201 WONDERLAND RD S,LONDON,N6K 3T3,0.00,Square feet,168,2772.41000,"195,569.09410",kWh,,,,,,,,,,,,,,,,,,,,,"7,824.91502",0.00000,70.54119,
BLACKBURN FOUNTAIN-THAMES RIVER,Other,78 RIVERSIDE DR,LONDON,N6H 1B4,"17,200.00",Square feet,168,,"95,606.76710",kWh,,,,,,,,,,,,,,,,,,,,,"3,825.32236",5.55853,0.00000,
BONAVENTURE MEADOWS-SPLASH PAD,Other,141 BONAVENTURE DR,LONDON,N5V 4S6,"7,000.00",Square feet,168,,515.31226,kWh,,,,,,,,,,,,,,,,,,,,,20.61816,0.07362,0.00000,
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,LONDON,N6L 1J9,0.00,Square feet,168,98.89000,"40,935.86702",kWh,,,,,,,,,,,,,,,,,,,,,"1,637.88498",0.00000,413.95355,
BOYLE CC,Community centres,530 CHARLOTTE ST,LONDON,N5W 4A4,"8,522.00",Square feet,126,,"79,639.40813",kWh,"11,140.64117",Cubic Meter,,,,,,,,,,,,,,,,,,,"24,249.24936",23.23864,0.00000,
