Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
FANSHAWE WELLS,Facilities related to the pumping of water,2835 CLARKE RD,London,N5X 3Y7,0.00,Square feet,168,2.61200,"87,605.23",kWh,,,,,,,,,,,,,,,,,,,,,"7,008.41840",,"33,539.52144","6 Wells, 6 Pumps each individually metered"
HYDE PARK WELL,Facilities related to the pumping of water,500 HYDE PARK RD,London,N6H 4Z9,70.00,Square feet,168,0.57000,"15,613.50",kWh,,,,,,,,,,,,,,,,,,,,,"1,249.08000",223.05000,"27,392.10526","1 Well, 1 Pump that is metered"
WONDERLAND PUMP STN,Facilities related to the pumping of sewage,4695 DINGMAN DR,London,N6L 1H4,0.00,Square feet,168,1430.46000,"1,877,039.24",kWh,,,,,,,,,,,,,,,,,,,,,"150,163.13920",,"1,312.19275",
SOUTHWINDS PUMP STN,Facilities related to the pumping of sewage,3938 WEST GRAHAM PL,London,N6P 1G3,430.00,Square feet,168,101.00000,"124,779.96",kWh,,,,,,,,,,,,,,,,,,,,,"9,982.39680",290.18595,"1,235.44515",
DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,3506 DINGMAN DR,London,N6E 3X1,"3,140.00",Square feet,168,174.49100,"180,912.81",kWh,,,,,,,,,,,,,,,,,,,,,"14,473.02480",57.61554,"1,036.80310",Bypass Pumps
RIVER BEND PUMP STN,Facilities related to the pumping of sewage,2120 KAINS RD,London,N6K 0C1,"3,800.00",Square feet,168,246.00000,"237,575.02",kWh,,,,,,,,,,,,,,,,,,,,,"19,006.00160",62.51974,965.75211,
OXFORD PCP,Facilities related to the treatment of sewage,1570 OXFORD ST W,London,N6H 1W2,0.00,Square feet,168,3735.00000,"3,066,861.64",kWh,,,,,,,,,,,,,,,,,,,,,"245,348.93120",,821.11423,
ADELAIDE PCP,Facilities related to the treatment of sewage,1201 ADELAIDE ST N,London,N5Y 2N4,"12,900.00",Square feet,168,10402.00000,"5,379,060.34",kWh,"206,035.49",Cubic meter,,,,,,,,,,,,,,,,,,,"819,861.08755",586.72555,727.62542,
GORE RD PUMP STN,Facilities related to the pumping of sewage,3045 GORE RD,London,N5V 4T2,0.00,Square feet,168,4.00000,"2,196.31",kWh,,,,,,,,,,,,,,,,,,,,,175.70480,,549.07750,
WICKERSON PUMP STN,Facilities related to the pumping of water,2080 WICKERSON RD,London,N6K 5C4,"1,120.00",Square feet,168,217.68500,"106,796.34",kWh,,,,,,,,,,,,,,,,,,,,,"8,543.70720",95.35388,490.60036,Water Pumping Station - Metered
GREENWAY PCC,Facilities related to the treatment of sewage,109 GREENSIDE AVE,London,N6J 2X5,"35,952.00",Square feet,168,51145.00000,"24,362,619.55",kWh,"61,934.84",Cubic meter,,,,,,,,,,,,,,,,,,,"2,066,105.24474",695.95152,489.21398,
POTTERSBURG PCP,Facilities related to the treatment of sewage,1139 HAMILTON RD,London,N5W 1B1,"11,930.00",Square feet,168,10656.00000,"3,985,039.86",kWh,"65,954.15",Cubic meter,,,,,,,,,,,,,,,,,,,"443,497.88555",392.79010,439.75093,
TALBOT VILLAGE PUMP STN,Facilities related to the pumping of sewage,6664 PACK RD,London,N6P 1M1,196.00,Square feet,168,181.00000,"77,942.58",kWh,,,,,,,,,,,,,,,,,,,,,"6,235.40640",397.66622,430.62199,
VAUXHALL PCP,Facilities related to the treatment of sewage,54 PRICE ST,London,N5Z 2H9,0.00,Square feet,168,8742.00000,"3,113,825.05",kWh,"29,534.67",Cubic meter,,,,,,,,,,,,,,,,,,,"304,945.04854",,392.09711,
VICTORIA PUMP STN,Facilities related to the pumping of sewage,27 VICTORIA ST,London,N6A 2B3,0.00,Square feet,168,28.00000,"8,524.97",kWh,,,,,,,,,,,,,,,,,,,,,681.99760,,304.46321,
MANOR PARK PUMP STN,Facilities related to the pumping of sewage,80 TECUMSEH AVE W,London,N6C 1S1,0.00,Square feet,168,7.00000,"2,108.85",kWh,,,,,,,,,,,,,,,,,,,,,168.70800,,301.26429,
